Periode,Provinsi,Luas Panen (Ha),Produksi Padi (Ton-GKG),Produktivitas (Ton/Ha)
2018-01-01,ACEH,14541.53,76118.47,5.23
2018-02-01,ACEH,27075.77,142876.76,5.28
2018-03-01,ACEH,66403.96,375841.91,5.66
2018-04-01,ACEH,58507.03,336742.80,5.76
2018-05-01,ACEH,16867.65,96372.36,5.71
2018-06-01,ACEH,6574.29,37912.07,5.77
2018-07-01,ACEH,16175.29,93821.52,5.8
2018-08-01,ACEH,24947.79,142895.96,5.73
2018-09-01,ACEH,34889.21,192853.32,5.53
2018-10-01,ACEH,25948.67,153129.92,5.9
2018-11-01,ACEH,21600.78,126142.58,5.84
2018-12-01,ACEH,15983.81,86859.43,5.43
2019-01-01,ACEH,8950.14,42459.41,4.74
2019-02-01,ACEH,34950.49,176086.76,5.04
2019-03-01,ACEH,71296.11,385742.63,5.41
2019-04-01,ACEH,33825.48,194414.30,5.75
2019-05-01,ACEH,18437.40,101546.59,5.51
2019-06-01,ACEH,15830.41,90110.62,5.69
2019-07-01,ACEH,20708.42,112226.11,5.42
2019-08-01,ACEH,19888.83,107035.34,5.38
2019-09-01,ACEH,25162.22,149259.37,5.93
2019-10-01,ACEH,31321.66,182189.72,5.82
2019-11-01,ACEH,19680.53,115427.26,5.87
2019-12-01,ACEH,9960.77,57939.49,5.82
2020-01-01,ACEH,12664.52,64644.94,5.1
2020-02-01,ACEH,28801.80,155948.40,5.41
2020-03-01,ACEH,82284.08,436534.51,5.31
2020-04-01,ACEH,26657.48,143018.95,5.37
2020-05-01,ACEH,16797.39,86489.97,5.15
2020-06-01,ACEH,7627.40,40154.60,5.26
2020-07-01,ACEH,13528.95,75837.50,5.61
2020-08-01,ACEH,30467.83,158157.59,5.19
2020-09-01,ACEH,34685.51,204116.24,5.88
2020-10-01,ACEH,36109.27,223043.73,6.18
2020-11-01,ACEH,21976.82,133387.98,6.07
2020-12-01,ACEH,6268.36,35978.66,5.74
2021-01-01,ACEH,9733.78,45187.63,4.64
2021-02-01,ACEH,29157.40,150150.18,5.15
2021-03-01,ACEH,45230.45,250989.71,5.55
2021-04-01,ACEH,54556.80,319002.89,5.85
2021-05-01,ACEH,19617.01,101452.17,5.17
2021-06-01,ACEH,9607.88,48715.61,5.07
2021-07-01,ACEH,6834.62,35232.59,5.16
2021-08-01,ACEH,9998.90,50235.97,5.02
2021-09-01,ACEH,27037.80,150229.95,5.56
2021-10-01,ACEH,37720.39,210282.71,5.57
2021-11-01,ACEH,27838.47,161529.97,5.8
2021-12-01,ACEH,19724.88,111630.22,5.66
2018-01-01,SUMATERA UTARA,34369.70,179885.24,5.23
2018-02-01,SUMATERA UTARA,51188.77,265349.71,5.18
2018-03-01,SUMATERA UTARA,52496.88,269050.31,5.13
2018-04-01,SUMATERA UTARA,31113.61,160741.86,5.17
2018-05-01,SUMATERA UTARA,31433.08,152795.98,4.86
2018-06-01,SUMATERA UTARA,32834.15,169329.62,5.16
2018-07-01,SUMATERA UTARA,28705.85,155562.32,5.42
2018-08-01,SUMATERA UTARA,36353.10,202144.67,5.56
2018-09-01,SUMATERA UTARA,40124.49,205874.53,5.13
2018-10-01,SUMATERA UTARA,25630.21,130379.65,5.09
2018-11-01,SUMATERA UTARA,18714.50,94170.08,5.03
2018-12-01,SUMATERA UTARA,25212.11,123000.75,4.88
2019-01-01,SUMATERA UTARA,37923.90,191563.00,5.05
2019-02-01,SUMATERA UTARA,58201.56,283920.30,4.88
2019-03-01,SUMATERA UTARA,55367.31,275291.31,4.97
2019-04-01,SUMATERA UTARA,23061.77,108645.17,4.71
2019-05-01,SUMATERA UTARA,27225.44,133399.30,4.9
2019-06-01,SUMATERA UTARA,33994.01,169569.41,4.99
2019-07-01,SUMATERA UTARA,29782.57,152354.34,5.12
2019-08-01,SUMATERA UTARA,38285.63,195923.72,5.12
2019-09-01,SUMATERA UTARA,41549.20,234334.88,5.64
2019-10-01,SUMATERA UTARA,23565.82,123916.46,5.26
2019-11-01,SUMATERA UTARA,16847.92,80070.11,4.75
2019-12-01,SUMATERA UTARA,27336.11,129913.59,4.75
2020-01-01,SUMATERA UTARA,34344.16,179811.57,5.24
2020-02-01,SUMATERA UTARA,56507.10,294789.29,5.22
2020-03-01,SUMATERA UTARA,46883.99,128704.12,2.75
2020-04-01,SUMATERA UTARA,26960.35,132373.94,4.91
2020-05-01,SUMATERA UTARA,27459.37,131060.07,4.77
2020-06-01,SUMATERA UTARA,26042.01,150988.31,5.8
2020-07-01,SUMATERA UTARA,28902.46,264466.38,9.15
2020-08-01,SUMATERA UTARA,46685.70,248284.04,5.32
2020-09-01,SUMATERA UTARA,43689.91,118523.78,2.71
2020-10-01,SUMATERA UTARA,21725.82,74465.95,3.43
2020-11-01,SUMATERA UTARA,14916.40,72490.54,4.86
2020-12-01,SUMATERA UTARA,14473.95,14473.95,1
2021-01-01,SUMATERA UTARA,41494.93,211936.09,5.11
